episode,reward,length,epsilon,eval_reward
1,22.0,23,0.9872255041891695,
2,17.0,18,0.97461419612156,
3,34.0,35,0.9621639911560292,
4,17.0,18,0.9498728312816747,
5,31.0,32,0.9377386847776452,
6,10.0,11,0.9257595458772995,
7,20.0,21,0.9139334344366536,
8,13.0,14,0.9022583956070648,
9,12.0,13,0.8907324995120958,
10,42.0,43,0.879353840928508,13.4
11,19.0,20,0.8681205389713291,
12,21.0,22,0.8570307367829441,
13,16.0,17,0.8460826012261574,
14,33.0,34,0.8352743225811773,
15,13.0,14,0.8246041142464698,
16,12.0,13,0.8140702124434348,
17,18.0,19,0.8036708759248543,
18,17.0,18,0.7934043856870658,
19,10.0,11,0.7832690446858119,
20,20.0,21,0.7732631775557198,9.8
21,28.0,29,0.7633851303333649,
22,11.0,12,0.753633270183871,
23,10.0,11,0.7440059851310047,
24,16.0,17,0.7345016837907159,
25,16.0,17,0.7251187951080835,
26,11.0,12,0.7158557680976209,
27,21.0,22,0.7067110715868989,
28,15.0,16,0.6976831939634446,
29,51.0,52,0.6887706429248718,
30,13.0,14,0.679971945232205,8.5
31,25.0,26,0.671285646466354,
32,9.0,10,0.6627103107876989,
33,10.0,11,0.6542445206987473,
34,35.0,36,0.6458868768098224,
35,30.0,31,0.6376359976077449,
36,21.0,22,0.6294905192274701,
37,9.0,10,0.6214490952266413,
38,22.0,23,0.6135103963630242,
39,11.0,12,0.6056731103747838,
40,18.0,19,0.5979359417635685,9.3
41,18.0,19,0.5902976115803648,
42,13.0,14,0.5827568572140882,
43,10.0,11,0.5753124321828741,
44,24.0,25,0.5679631059280353,
45,21.0,22,0.5607076636106514,
46,9.0,10,0.5535449059107566,
47,18.0,19,0.5464736488290931,
48,8.0,9,0.5394927234913967,
49,16.0,17,0.5326009759551823,
50,16.0,17,0.5257972670189986,9.2
51,13.0,14,0.5190804720341183,
52,13.0,14,0.5124494807186346,
53,25.0,26,0.5059031969739322,
54,20.0,21,0.4994405387035029,
55,18.0,19,0.4930604376340761,
56,40.0,41,0.48676183913903337,
57,10.0,11,0.48054370206407965,
58,9.0,10,0.4744049985551411,
59,28.0,29,0.46834471388846144,
60,33.0,34,0.4623618463028687,8.7
61,13.0,14,0.45645540683418484,
62,12.0,13,0.4506244191517506,
63,13.0,14,0.4448679193970387,
64,14.0,15,0.43918495602432833,
65,13.0,14,0.4335745896434158,
66,13.0,14,0.4280358928643334,
67,12.0,13,0.4225679501440529,
68,11.0,12,0.41716985763514647,
69,11.0,12,0.41184072303638153,
70,12.0,13,0.4065796654452239,12.8
71,12.0,13,0.40138581521222505,
72,12.0,13,0.3962583137972697,
