episode,reward,length,avg_q,eval_reward
1,25.0,26,1.0,
2,22.0,23,0.995,
3,11.0,12,0.990025,
4,56.0,57,0.985074875,
5,22.0,23,0.9801495006250001,
6,19.0,20,0.9752487531218751,
7,20.0,21,0.9703725093562657,
8,20.0,21,0.9655206468094844,
9,16.0,17,0.960693043575437,
10,10.0,11,0.9558895783575597,
11,30.0,31,0.9511101304657719,
12,12.0,13,0.946354579813443,
13,50.0,51,0.9416228069143757,
14,33.0,34,0.9369146928798039,
15,25.0,26,0.9322301194154049,
16,18.0,19,0.9275689688183278,
17,24.0,25,0.9229311239742362,
18,23.0,24,0.918316468354365,
19,9.0,10,0.9137248860125932,
20,43.0,44,0.9091562615825302,
21,17.0,18,0.9046104802746175,
22,40.0,41,0.9000874278732445,
23,9.0,10,0.8955869907338783,
24,30.0,31,0.8911090557802088,
25,18.0,19,0.8866535105013078,
26,12.0,13,0.8822202429488013,
27,11.0,12,0.8778091417340573,
28,8.0,9,0.8734200960253871,
29,22.0,23,0.8690529955452602,
30,15.0,16,0.8647077305675338,
31,41.0,42,0.8603841919146962,
32,11.0,12,0.8560822709551227,
33,9.0,10,0.851801859600347,
34,12.0,13,0.8475428503023453,
35,16.0,17,0.8433051360508336,
36,47.0,48,0.8390886103705794,
37,12.0,13,0.8348931673187264,
38,17.0,18,0.8307187014821328,
39,24.0,25,0.8265651079747222,
40,11.0,12,0.8224322824348486,
41,8.0,9,0.8183201210226743,
42,22.0,23,0.8142285204175609,
43,21.0,22,0.810157377815473,
44,15.0,16,0.8061065909263957,
45,11.0,12,0.8020760579717637,
46,15.0,16,0.798065677681905,
47,10.0,11,0.7940753492934954,
48,14.0,15,0.7901049725470279,
49,16.0,17,0.7861544476842928,
50,12.0,13,0.7822236754458713,
51,28.0,29,0.778312557068642,
52,12.0,13,0.7744209942832988,
53,15.0,16,0.7705488893118823,
54,42.0,43,0.7666961448653229,
55,15.0,16,0.7628626641409962,
56,16.0,17,0.7590483508202912,
57,17.0,18,0.7552531090661897,
58,15.0,16,0.7514768435208588,
59,14.0,15,0.7477194593032545,
60,35.0,36,0.7439808620067382,
61,20.0,21,0.7402609576967045,
62,31.0,32,0.736559652908221,
63,19.0,20,0.7328768546436799,
64,39.0,40,0.7292124703704616,
65,19.0,20,0.7255664080186093,
66,10.0,11,0.7219385759785162,
67,13.0,14,0.7183288830986236,
68,15.0,16,0.7147372386831305,
69,27.0,28,0.7111635524897149,
70,21.0,22,0.7076077347272662,
71,14.0,15,0.7040696960536299,
72,20.0,21,0.7005493475733617,
73,23.0,24,0.697046600835495,
74,23.0,24,0.6935613678313175,
75,19.0,20,0.6900935609921609,
76,28.0,29,0.6866430931872001,
77,19.0,20,0.6832098777212641,
78,27.0,28,0.6797938283326578,
79,13.0,14,0.6763948591909945,
80,15.0,16,0.6730128848950395,
81,9.0,10,0.6696478204705644,
82,16.0,17,0.6662995813682115,
83,16.0,17,0.6629680834613705,
84,17.0,18,0.6596532430440636,
85,9.0,10,0.6563549768288433,
86,15.0,16,0.653073201944699,
87,21.0,22,0.6498078359349755,
88,16.0,17,0.6465587967553006,
89,11.0,12,0.6433260027715241,
90,18.0,19,0.6401093727576664,
91,43.0,44,0.6369088258938781,
92,14.0,15,0.6337242817644086,
93,24.0,25,0.6305556603555866,
94,15.0,16,0.6274028820538087,
95,27.0,28,0.6242658676435396,
96,79.0,80,0.6211445383053219,
97,9.0,10,0.6180388156137953,
98,15.0,16,0.6149486215357263,
99,12.0,13,0.6118738784280476,
100,10.0,11,0.6088145090359074,
101,25.0,26,0.6057704364907278,
102,69.0,70,0.6027415843082742,
103,10.0,11,0.5997278763867329,
104,21.0,22,0.5967292370047992,
105,41.0,42,0.5937455908197752,
106,26.0,27,0.5907768628656763,
107,28.0,29,0.5878229785513479,
108,18.0,19,0.5848838636585911,
109,13.0,14,0.5819594443402982,
110,20.0,21,0.5790496471185967,
111,28.0,29,0.5761543988830038,
112,7.0,8,0.5732736268885887,
113,20.0,21,0.5704072587541458,
114,29.0,30,0.567555222460375,
115,16.0,17,0.5647174463480732,
116,35.0,36,0.5618938591163328,
117,18.0,19,0.5590843898207511,
118,22.0,23,0.5562889678716474,
119,16.0,17,0.5535075230322891,
120,42.0,43,0.5507399854171277,
121,46.0,47,0.547986285490042,
122,33.0,34,0.5452463540625918,
123,18.0,19,0.5425201222922789,
124,48.0,49,0.5398075216808175,
