Episode,Reward,Length
399,30.0,31
400,18.0,19
401,16.0,17
402,15.0,16
403,13.0,14
404,14.0,15
405,22.0,23
406,34.0,35
407,17.0,18
408,12.0,13
409,12.0,13
410,13.0,14
411,12.0,13
412,30.0,31
413,21.0,22
414,38.0,39
415,10.0,11
416,56.0,57
417,11.0,12
418,9.0,10
419,15.0,16
420,13.0,14
421,21.0,22
422,22.0,23
423,23.0,24
424,10.0,11
425,13.0,14
426,10.0,11
427,11.0,12
428,23.0,24
429,37.0,38
430,30.0,31
431,18.0,19
432,17.0,18
433,26.0,27
434,22.0,23
435,40.0,41
436,20.0,21
437,15.0,16
438,14.0,15
439,14.0,15
440,28.0,29
441,15.0,16
442,54.0,55
443,13.0,14
444,19.0,20
445,27.0,28
446,49.0,50
447,12.0,13
448,19.0,20
449,13.0,14
450,20.0,21
451,13.0,14
452,16.0,17
453,11.0,12
454,27.0,28
455,39.0,40
456,8.0,9
457,25.0,26
458,37.0,38
459,16.0,17
460,17.0,18
461,13.0,14
462,16.0,17
463,15.0,16
464,16.0,17
465,24.0,25
466,14.0,15
467,12.0,13
468,26.0,27
469,39.0,40
470,29.0,30
471,29.0,30
472,34.0,35
473,17.0,18
474,13.0,14
475,23.0,24
476,14.0,15
477,8.0,9
478,13.0,14
479,39.0,40
480,10.0,11
481,21.0,22
482,16.0,17
483,63.0,64
484,18.0,19
485,16.0,17
486,23.0,24
487,37.0,38
488,18.0,19
489,11.0,12
490,33.0,34
491,12.0,13
492,15.0,16
493,11.0,12
494,20.0,21
495,38.0,39
496,68.0,69
497,23.0,24
498,16.0,17
499,67.0,68
500,33.0,34
501,15.0,16
502,19.0,20
503,18.0,19
504,18.0,19
505,34.0,35
506,14.0,15
507,32.0,33
508,10.0,11
509,24.0,25
510,19.0,20
511,12.0,13
512,20.0,21
513,14.0,15
514,10.0,11
515,17.0,18
516,12.0,13
517,20.0,21
518,29.0,30
519,40.0,41
520,20.0,21
521,27.0,28
522,21.0,22
523,15.0,16
524,14.0,15
525,20.0,21
526,34.0,35
527,25.0,26
528,16.0,17
529,50.0,51
530,20.0,21
531,13.0,14
532,18.0,19
533,9.0,10
534,12.0,13
535,14.0,15
536,20.0,21
537,17.0,18
538,11.0,12
539,26.0,27
540,12.0,13
541,14.0,15
542,16.0,17
543,14.0,15
544,28.0,29
545,22.0,23
546,20.0,21
547,18.0,19
548,33.0,34
549,12.0,13
550,11.0,12
551,15.0,16
552,13.0,14
553,29.0,30
554,19.0,20
555,17.0,18
556,15.0,16
557,17.0,18
558,10.0,11
559,19.0,20
560,50.0,51
561,17.0,18
562,14.0,15
563,16.0,17
564,15.0,16
565,57.0,58
566,14.0,15
567,11.0,12
568,44.0,45
569,51.0,52
570,17.0,18
571,18.0,19
572,17.0,18
573,23.0,24
574,11.0,12
575,23.0,24
576,8.0,9
577,20.0,21
578,31.0,32
579,42.0,43
580,70.0,71
581,57.0,58
582,17.0,18
583,12.0,13
584,28.0,29
585,13.0,14
586,19.0,20
587,31.0,32
588,11.0,12
589,10.0,11
590,15.0,16
591,21.0,22
592,12.0,13
