Episode,Reward,Length
399,14.0,17
400,104.0,14
401,98.0,14
402,102.0,22
403,101.0,18
404,95.0,17
405,102.0,100
406,101.0,14
407,101.0,105
408,11.0,17
409,95.0,30
410,99.0,118
411,214.0,30
412,171.0,21
413,215.0,109
414,168.0,28
415,139.0,106
416,183.0,123
417,147.0,72
418,147.0,63
419,154.0,117
420,153.0,44
421,131.0,70
422,141.0,109
423,133.0,107
424,136.0,20
425,152.0,108
426,134.0,104
427,145.0,54
428,134.0,93
429,134.0,60
430,102.0,91
431,93.0,248
432,153.0,195
433,42.0,57
434,95.0,179
435,15.0,172
436,20.0,151
437,16.0,158
438,15.0,170
439,12.0,158
440,12.0,109
441,12.0,150
442,20.0,153
443,16.0,119
444,15.0,127
445,98.0,149
446,12.0,143
447,103.0,125
448,15.0,127
449,28.0,130
450,116.0,142
451,116.0,14
452,28.0,152
453,19.0,146
454,107.0,138
455,26.0,114
456,104.0,138
457,121.0,127
458,70.0,127
459,61.0,127
460,115.0,144
461,42.0,121
462,42.0,133
463,68.0,139
464,107.0,128
465,105.0,17
466,18.0,137
467,106.0,138
468,102.0,150
469,52.0,150
470,91.0,172
471,58.0,145
472,89.0,160
473,89.0,143
474,246.0,150
475,193.0,152
476,55.0,152
477,177.0,159
478,170.0,152
479,149.0,149
480,156.0,162
481,168.0,180
482,156.0,176
483,107.0,148
484,107.0,15
485,148.0,151
486,151.0,168
487,117.0,234
488,125.0,248
489,147.0,262
490,141.0,158
491,123.0,225
492,125.0,216
493,128.0,208
494,140.0,217
495,140.0,221
496,12.0,218
497,150.0,235
498,144.0,206
499,136.0,196
500,112.0,317
501,136.0,291
502,125.0,80
503,125.0,495
504,125.0,257
505,142.0,153
506,142.0,168
507,119.0,157
508,131.0,139
509,137.0,129
510,126.0,113
511,15.0,109
512,135.0,117
513,136.0,117
514,148.0,112
515,148.0,105
516,170.0,109
517,170.0,115
518,143.0,133
519,158.0,108
520,141.0,122
521,148.0,117
522,150.0,111
523,150.0,111
524,157.0,111
525,150.0,116
526,147.0,108
527,160.0,107
528,160.0,115
529,178.0,108
530,174.0,107
531,146.0,104
532,13.0,103
533,149.0,104
534,166.0,102
535,232.0,107
536,246.0,110
537,260.0,106
538,156.0,110
539,156.0,109
540,223.0,112
541,214.0,106
542,206.0,116
543,215.0,107
544,219.0,106
545,216.0,110
546,233.0,105
547,204.0,121
548,194.0,168
549,315.0,141
550,315.0,123
551,289.0,145
552,78.0,132
553,493.0,121
554,255.0,121
555,151.0,111
556,166.0,111
557,155.0,113
558,137.0,112
559,127.0,110
560,111.0,111
561,111.0,112
562,107.0,112
563,115.0,114
564,115.0,113
565,110.0,146
566,103.0,107
567,107.0,16
568,113.0,141
569,131.0,199
570,106.0,116
571,120.0,117
572,120.0,119
573,115.0,127
574,109.0,114
575,109.0,116
576,109.0,121
577,114.0,162
578,106.0,116
579,105.0,125
580,113.0,114
581,106.0,122
582,105.0,116
583,105.0,125
584,102.0,116
585,101.0,127
586,102.0,116
587,100.0,115
588,105.0,108
589,108.0,121
590,104.0,113
591,108.0,120
592,107.0,109
593,110.0,167
594,110.0,93
595,104.0,283
596,114.0,114
597,105.0,71
598,104.0,128
599,108.0,105
600,103.0,108
601,119.0,108
602,166.0,115
603,139.0,107
604,121.0,112
605,121.0,126
606,143.0,121
607,130.0,118
608,119.0,123
609,119.0,125
610,109.0,127
611,109.0,124
612,111.0,129
613,110.0,121
614,108.0,121
615,109.0,117
616,109.0,115
617,110.0,120
