episode,reward,length,epsilon,eval_reward
1,14.0,15,0.995,
2,19.0,20,0.990025,
3,14.0,15,0.985074875,
4,9.0,10,0.9801495006250001,
5,12.0,13,0.9752487531218751,
6,10.0,11,0.9703725093562657,
7,19.0,20,0.9655206468094844,
8,13.0,14,0.960693043575437,
9,18.0,19,0.9558895783575597,
10,10.0,11,0.9511101304657719,8.1
11,12.0,13,0.946354579813443,
12,15.0,16,0.9416228069143757,
13,33.0,34,0.9369146928798039,
14,25.0,26,0.9322301194154049,
15,18.0,19,0.9275689688183278,
16,13.0,14,0.9229311239742362,
17,15.0,16,0.918316468354365,
18,17.0,18,0.9137248860125932,
19,10.0,11,0.9091562615825302,
20,10.0,11,0.9046104802746175,8.3
21,37.0,38,0.9000874278732445,
22,14.0,15,0.8955869907338783,
23,25.0,26,0.8911090557802088,
24,13.0,14,0.8866535105013078,
25,12.0,13,0.8822202429488013,
26,15.0,16,0.8778091417340573,
27,19.0,20,0.8734200960253871,
28,46.0,47,0.8690529955452602,
29,13.0,14,0.8647077305675338,
30,20.0,21,0.8603841919146962,8.6
31,8.0,9,0.8560822709551227,
32,33.0,34,0.851801859600347,
33,11.0,12,0.8475428503023453,
34,9.0,10,0.8433051360508336,
35,59.0,60,0.8390886103705794,
36,14.0,15,0.8348931673187264,
37,72.0,73,0.8307187014821328,
38,21.0,22,0.8265651079747222,
39,18.0,19,0.8224322824348486,
40,16.0,17,0.8183201210226743,8.2
41,13.0,14,0.8142285204175609,
42,11.0,12,0.810157377815473,
43,9.0,10,0.8061065909263957,
44,19.0,20,0.8020760579717637,
45,9.0,10,0.798065677681905,
46,13.0,14,0.7940753492934954,
47,34.0,35,0.7901049725470279,
48,11.0,12,0.7861544476842928,
49,10.0,11,0.7822236754458713,
50,21.0,22,0.778312557068642,9.9
51,14.0,15,0.7744209942832988,
52,18.0,19,0.7705488893118823,
53,22.0,23,0.7666961448653229,
54,11.0,12,0.7628626641409962,
55,14.0,15,0.7590483508202912,
56,12.0,13,0.7552531090661897,
57,12.0,13,0.7514768435208588,
58,12.0,13,0.7477194593032545,
59,17.0,18,0.7439808620067382,
60,13.0,14,0.7402609576967045,8.2
61,14.0,15,0.736559652908221,
62,36.0,37,0.7328768546436799,
63,11.0,12,0.7292124703704616,
64,9.0,10,0.7255664080186093,
65,10.0,11,0.7219385759785162,
66,18.0,19,0.7183288830986236,
67,12.0,13,0.7147372386831305,
68,17.0,18,0.7111635524897149,
69,15.0,16,0.7076077347272662,
70,19.0,20,0.7040696960536299,9.5
71,14.0,15,0.7005493475733617,
72,38.0,39,0.697046600835495,
73,13.0,14,0.6935613678313175,
74,9.0,10,0.6900935609921609,
75,12.0,13,0.6866430931872001,
76,11.0,12,0.6832098777212641,
77,11.0,12,0.6797938283326578,
78,13.0,14,0.6763948591909945,
79,12.0,13,0.6730128848950395,
80,13.0,14,0.6696478204705644,11.0
81,21.0,22,0.6662995813682115,
82,17.0,18,0.6629680834613705,
83,12.0,13,0.6596532430440636,
84,21.0,22,0.6563549768288433,
85,17.0,18,0.653073201944699,
86,17.0,18,0.6498078359349755,
87,10.0,11,0.6465587967553006,
88,15.0,16,0.6433260027715241,
89,13.0,14,0.6401093727576664,
90,10.0,11,0.6369088258938781,11.9
91,30.0,31,0.6337242817644086,
92,22.0,23,0.6305556603555866,
93,11.0,12,0.6274028820538087,
94,10.0,11,0.6242658676435396,
95,15.0,16,0.6211445383053219,
96,12.0,13,0.6180388156137953,
97,10.0,11,0.6149486215357263,
98,14.0,15,0.6118738784280476,
99,12.0,13,0.6088145090359074,
100,14.0,15,0.6057704364907278,10.7
101,15.0,16,0.6027415843082742,
102,20.0,21,0.5997278763867329,
103,15.0,16,0.5967292370047992,
104,22.0,23,0.5937455908197752,
105,12.0,13,0.5907768628656763,
106,11.0,12,0.5878229785513479,
107,7.0,8,0.5848838636585911,
108,13.0,14,0.5819594443402982,
109,13.0,14,0.5790496471185967,
110,10.0,11,0.5761543988830038,11.0
111,9.0,10,0.5732736268885887,
112,13.0,14,0.5704072587541458,
113,10.0,11,0.567555222460375,
114,12.0,13,0.5647174463480732,
115,9.0,10,0.5618938591163328,
116,13.0,14,0.5590843898207511,
117,34.0,35,0.5562889678716474,
118,13.0,14,0.5535075230322891,
119,11.0,12,0.5507399854171277,
120,10.0,11,0.547986285490042,25.6
121,15.0,16,0.5452463540625918,
122,13.0,14,0.5425201222922789,
123,48.0,49,0.5398075216808175,
124,10.0,11,0.5371084840724134,
125,30.0,31,0.5344229416520513,
126,13.0,14,0.531750826943791,
127,11.0,12,0.5290920728090721,
128,22.0,23,0.5264466124450268,
129,52.0,53,0.5238143793828016,
130,18.0,19,0.5211953074858876,389.7
131,31.0,32,0.5185893309484582,
132,30.0,31,0.5159963842937159,
133,31.0,32,0.5134164023722473,
134,21.0,22,0.510849320360386,
135,29.0,30,0.5082950737585841,
136,32.0,33,0.5057535983897912,
137,9.0,10,0.5032248303978422,
138,25.0,26,0.500708706245853,
139,18.0,19,0.4982051627146237,
140,51.0,52,0.49571413690105054,170.9
141,14.0,15,0.4932355662165453,
142,14.0,15,0.4907693883854626,
143,29.0,30,0.4883155414435353,
144,20.0,21,0.4858739637363176,
145,32.0,33,0.483444593917636,
146,12.0,13,0.4810273709480478,
147,33.0,34,0.47862223409330756,
148,11.0,12,0.47622912292284103,
149,11.0,12,0.4738479773082268,
150,20.0,21,0.47147873742168567,19.8
151,23.0,24,0.46912134373457726,
152,31.0,32,0.46677573701590436,
153,14.0,15,0.46444185833082485,
154,13.0,14,0.46211964903917074,
155,33.0,34,0.4598090507939749,
156,21.0,22,0.457510005540005,
157,10.0,11,0.45522245551230495,
158,34.0,35,0.4529463432347434,
159,27.0,28,0.4506816115185697,
160,18.0,19,0.4484282034609769,24.9
161,9.0,10,0.446186062443672,
162,41.0,42,0.4439551321314536,
163,93.0,94,0.4417353564707963,
164,25.0,26,0.43952667968844233,
165,28.0,29,0.43732904629000013,
166,24.0,25,0.4351424010585501,
167,29.0,30,0.43296668905325736,
168,18.0,19,0.43080185560799106,
169,34.0,35,0.4286478463299511,
170,22.0,23,0.42650460709830135,376.3
171,59.0,60,0.42437208406280985,
172,36.0,37,0.4222502236424958,
173,29.0,30,0.42013897252428334,
174,150.0,151,0.4180382776616619,
175,14.0,15,0.4159480862733536,
176,53.0,54,0.41386834584198684,
177,12.0,13,0.4117990041127769,
178,73.0,74,0.40974000909221303,
179,32.0,33,0.40769130904675194,
180,20.0,21,0.40565285250151817,44.4
181,12.0,13,0.4036245882390106,
182,54.0,55,0.4016064652978155,
183,11.0,12,0.3995984329713264,
184,58.0,59,0.3976004408064698,
185,22.0,23,0.39561243860243744,
186,60.0,61,0.3936343764094253,
187,28.0,29,0.39166620452737816,
188,69.0,70,0.3897078735047413,
189,84.0,85,0.3877593341372176,
190,91.0,92,0.3858205374665315,331.1
191,136.0,137,0.38389143477919885,
192,55.0,56,0.3819719776053028,
193,48.0,49,0.3800621177172763,
194,23.0,24,0.37816180712868996,
195,14.0,15,0.37627099809304654,
196,50.0,51,0.3743896431025813,
197,33.0,34,0.37251769488706843,
198,30.0,31,0.3706551064126331,
199,29.0,30,0.36880183088056995,
200,39.0,40,0.3669578217261671,159.1
201,72.0,73,0.36512303261753626,
202,31.0,32,0.3632974174544486,
203,27.0,28,0.3614809303671764,
204,79.0,80,0.3596735257153405,
205,34.0,35,0.3578751580867638,
206,157.0,158,0.35608578229633,
207,90.0,91,0.3543053533848483,
208,308.0,309,0.35253382661792404,
209,143.0,144,0.3507711574848344,
210,34.0,35,0.34901730169741024,228.1
211,65.0,66,0.3472722151889232,
212,59.0,60,0.3455358541129786,
213,85.0,86,0.3438081748424137,
214,379.0,380,0.3420891339682016,
215,268.0,269,0.3403786882983606,
216,435.0,436,0.3386767948568688,
217,301.0,302,0.33698341088258443,
218,101.0,102,0.3352984938281715,
219,500.0,500,0.33362200135903064,
220,227.0,228,0.33195389135223546,349.2
221,25.0,26,0.3302941218954743,
222,41.0,42,0.32864265128599696,
223,125.0,126,0.326999438029567,
224,165.0,166,0.3253644408394192,
225,396.0,397,0.3237376186352221,
226,124.0,125,0.322118930542046,
227,83.0,84,0.32050833588933575,
228,17.0,18,0.31890579420988907,
229,105.0,106,0.3173112652388396,
230,91.0,92,0.3157247089126454,144.2
231,119.0,120,0.3141460853680822,
232,33.0,34,0.3125753549412418,
233,97.0,98,0.31101247816653554,
234,33.0,34,0.30945741577570285,
235,216.0,217,0.3079101286968243,
236,53.0,54,0.3063705780533402,
237,174.0,175,0.30483872516307353,
238,76.0,77,0.3033145315372582,
239,355.0,356,0.3017979588795719,
240,158.0,159,0.30028896908517405,124.1
241,140.0,141,0.2987875242397482,
242,12.0,13,0.29729358661854943,
243,139.0,140,0.29580711868545667,
244,149.0,150,0.2943280830920294,
245,53.0,54,0.29285644267656924,
246,155.0,156,0.2913921604631864,
247,193.0,194,0.28993519966087045,
248,208.0,209,0.2884855236625661,
249,311.0,312,0.28704309604425327,
250,220.0,221,0.285607880564032,288.5
251,36.0,37,0.28417984116121187,
252,210.0,211,0.2827589419554058,
253,283.0,284,0.28134514724562876,
254,212.0,213,0.2799384215094006,
255,163.0,164,0.27853872940185365,
256,199.0,200,0.27714603575484437,
257,150.0,151,0.2757603055760701,
258,160.0,161,0.2743815040481898,
259,178.0,179,0.2730095965279488,
260,61.0,62,0.27164454854530906,142.6
261,179.0,180,0.2702863258025825,
262,136.0,137,0.2689348941735696,
263,154.0,155,0.26759021970270175,
