episode,reward,length,epsilon,lr,eval_reward
1,17.0,18,1.0,0.03,
2,21.0,22,0.995,0.03,
3,39.0,40,0.990025,0.03,
4,21.0,22,0.985074875,0.03,
5,16.0,17,0.9801495006250001,0.03,
6,26.0,27,0.9752487531218751,0.03,
7,30.0,31,0.9703725093562657,0.03,
8,24.0,25,0.9655206468094844,0.03,
9,12.0,13,0.960693043575437,0.03,
10,96.0,97,0.9558895783575597,0.03,
11,44.0,45,0.9511101304657719,0.03,
12,21.0,22,0.946354579813443,0.03,
13,29.0,30,0.9416228069143757,0.03,
14,9.0,10,0.9369146928798039,0.03,
15,15.0,16,0.9322301194154049,0.03,
16,17.0,18,0.9275689688183278,0.03,
17,16.0,17,0.9229311239742362,0.03,
18,25.0,26,0.918316468354365,0.03,
19,12.0,13,0.9137248860125932,0.03,
20,15.0,16,0.9091562615825302,0.03,20.6
21,27.0,28,0.9046104802746175,0.03,
22,16.0,17,0.9000874278732445,0.03,
23,29.0,30,0.8955869907338783,0.03,
24,13.0,14,0.8911090557802088,0.03,
25,25.0,26,0.8866535105013078,0.03,
26,20.0,21,0.8822202429488013,0.03,
27,29.0,30,0.8778091417340573,0.03,
28,11.0,12,0.8734200960253871,0.03,
29,65.0,66,0.8690529955452602,0.03,
30,33.0,34,0.8647077305675338,0.03,
31,21.0,22,0.8603841919146962,0.03,
32,35.0,36,0.8560822709551227,0.03,
33,17.0,18,0.851801859600347,0.03,
34,17.0,18,0.8475428503023453,0.03,
35,13.0,14,0.8433051360508336,0.03,
36,19.0,20,0.8390886103705794,0.03,
37,15.0,16,0.8348931673187264,0.03,
38,21.0,22,0.8307187014821328,0.03,
39,9.0,10,0.8265651079747222,0.03,
40,35.0,36,0.8224322824348486,0.03,24.9
41,40.0,41,0.8183201210226743,0.03,
42,22.0,23,0.8142285204175609,0.03,
43,13.0,14,0.810157377815473,0.03,
44,29.0,30,0.8061065909263957,0.03,
45,86.0,87,0.8020760579717637,0.03,
46,25.0,26,0.798065677681905,0.03,
47,12.0,13,0.7940753492934954,0.03,
48,24.0,25,0.7901049725470279,0.03,
49,22.0,23,0.7861544476842928,0.03,
50,20.0,21,0.7822236754458713,0.03,
51,14.0,15,0.778312557068642,0.03,
52,14.0,15,0.7744209942832988,0.03,
53,10.0,11,0.7705488893118823,0.03,
54,26.0,27,0.7666961448653229,0.03,
55,16.0,17,0.7628626641409962,0.03,
56,10.0,11,0.7590483508202912,0.03,
