episode,reward,length,epsilon,lr,eval_reward
1,17.0,18,1.0,0.03,
2,26.0,27,0.9614057956810849,0.03,
3,21.0,22,0.9243011039691799,0.03,
4,30.0,31,0.8886284383103945,0.03,
5,30.0,31,0.8543325307986447,0.03,
6,16.0,17,0.821360246548706,0.03,
7,8.0,9,0.7896605013739707,0.03,
8,36.0,37,0.7591841826413667,0.03,
9,13.0,14,0.7298840731808172,0.03,
10,26.0,27,0.7017147781313547,0.03,
11,30.0,31,0.674632654610551,0.03,
12,31.0,32,0.6485957440982992,0.03,
13,12.0,13,0.6235637074301906,0.03,
14,38.0,39,0.5994977622997696,0.03,
15,28.0,29,0.5763606231728399,0.03,
16,21.0,22,0.5541164435207301,0.03,
17,14.0,15,0.5327307602830205,0.03,
18,10.0,11,0.5121704404736865,0.03,
19,19.0,20,0.49240362984793634,0.03,
20,14.0,15,0.4733997035502096,0.03,23.7
21,10.0,11,0.45512921866687894,0.03,
22,10.0,11,0.43756386861014124,0.03,
23,48.0,49,0.4206764392624265,0.03,
24,13.0,14,0.4044407668133787,0.03,
25,39.0,40,0.38883169722408445,0.03,
26,12.0,13,0.3738250472557476,0.03,
27,8.0,9,0.3593975670024312,0.03,
28,32.0,33,0.3455269038698184,0.03,
29,13.0,14,0.3321915679441845,0.03,
30,16.0,17,0.31937089869792584,0.03,
31,33.0,34,0.3070450329800625,0.03,
32,10.0,11,0.29519487424212193,0.03,
33,21.0,22,0.283802062951725,0.03,
34,60.0,61,0.2728489481480365,0.03,
35,35.0,36,0.2623185600950101,0.03,
36,96.0,97,0.2521945839900597,0.03,
37,75.0,76,0.2424613346874235,0.03,
38,11.0,12,0.23310373239706023,0.03,
39,11.0,12,0.22410727932142638,0.03,
40,9.0,10,0.21545803719393905,0.03,47.4
41,23.0,24,0.20714260568432374,0.03,
42,9.0,10,0.19914810163739047,0.03,
43,39.0,40,0.19146213911307294,0.03,
44,38.0,39,0.18407281019680646,0.03,
45,45.0,46,0.17696866655051402,0.03,
46,16.0,17,0.1701387016756175,0.03,
47,60.0,61,0.16357233386059378,0.03,
48,10.0,11,0.1572593897866562,0.03,
49,8.0,9,0.15119008876616208,0.03,
50,39.0,40,0.1453550275893259,0.03,
51,9.0,10,0.1397451659557619,0.03,
52,32.0,33,0.1343518124682845,0.03,
53,24.0,25,0.12916661116726696,0.03,
54,8.0,9,0.1241815285846956,0.03,
55,34.0,35,0.11938884129786266,0.03,
56,10.0,11,0.11478112396341442,0.03,
57,86.0,87,0.11035123781321568,0.03,
58,73.0,74,0.10609231959420724,0.03,
59,57.0,58,0.10199777093512076,0.03,
60,10.0,11,0.0980612481235768,0.03,28.9
61,84.0,85,0.09427665227772765,0.03,
62,58.0,59,0.0906381198972177,0.03,
63,13.0,14,0.08714001377882216,0.03,
64,36.0,37,0.08377691428268921,0.03,
65,10.0,11,0.08054361093565486,0.03,
66,88.0,89,0.07743509435862099,0.03,
67,75.0,76,0.0744465485054899,0.03,
68,109.0,110,0.071573343201631,0.03,
69,16.0,17,0.06881102697031942,0.03,
70,40.0,41,0.06615532013603254,0.03,
71,8.0,9,0.06360210819391926,0.03,
72,55.0,56,0.061147435435169394,0.03,
73,43.0,44,0.058787498818406794,0.03,
74,8.0,9,0.05651864207761122,0.03,
75,11.0,12,0.054337350057440253,0.03,
76,35.0,36,0.05224024326717499,0.03,
77,8.0,9,0.050224072644851805,0.03,
78,31.0,32,0.04828571452346836,0.03,
79,19.0,20,0.04642216579146481,0.03,
80,31.0,32,0.04463053923998247,0.03,39.5
81,10.0,11,0.042908059089691225,0.03,
82,85.0,86,0.0412520566902556,0.03,
83,12.0,13,0.0396599663857764,0.03,
84,16.0,17,0.03812932153980244,0.03,
