episode,reward,length,epsilon,lr,eval_reward
1,14.0,15,1.0,0.03,
2,13.0,14,0.999,0.03,
3,22.0,23,0.998001,0.03,
4,28.0,29,0.997002999,0.03,
5,28.0,29,0.996005996001,0.03,
6,42.0,43,0.995009990004999,0.03,
7,31.0,32,0.994014980014994,0.03,
8,49.0,50,0.993020965034979,0.03,
9,11.0,12,0.9920279440699441,0.03,
10,35.0,36,0.9910359161258742,0.03,
11,22.0,23,0.9900448802097482,0.03,
12,15.0,16,0.9890548353295385,0.03,
13,11.0,12,0.988065780494209,0.03,
14,14.0,15,0.9870777147137147,0.03,
15,31.0,32,0.986090636999001,0.03,
16,21.0,22,0.9851045463620021,0.03,
17,39.0,40,0.98411944181564,0.03,
18,16.0,17,0.9831353223738244,0.03,
19,11.0,12,0.9821521870514506,0.03,
20,15.0,16,0.9811700348643991,0.03,20.8
21,25.0,26,0.9801888648295347,0.03,
22,35.0,36,0.9792086759647052,0.03,
23,21.0,22,0.9782294672887405,0.03,
24,11.0,12,0.9772512378214517,0.03,
25,14.0,15,0.9762739865836303,0.03,
26,17.0,18,0.9752977125970467,0.03,
27,15.0,16,0.9743224148844496,0.03,
28,19.0,20,0.9733480924695651,0.03,
29,22.0,23,0.9723747443770956,0.03,
30,10.0,11,0.9714023696327185,0.03,
31,66.0,67,0.9704309672630859,0.03,
32,11.0,12,0.9694605362958227,0.03,
33,46.0,47,0.9684910757595269,0.03,
34,30.0,31,0.9675225846837673,0.03,
35,23.0,24,0.9665550620990835,0.03,
36,13.0,14,0.9655885070369844,0.03,
37,15.0,16,0.9646229185299474,0.03,
38,43.0,44,0.9636582956114175,0.03,
39,20.0,21,0.9626946373158061,0.03,
40,14.0,15,0.9617319426784903,0.03,18.5
41,17.0,18,0.9607702107358118,0.03,
42,36.0,37,0.959809440525076,0.03,
43,12.0,13,0.9588496310845509,0.03,
44,8.0,9,0.9578907814534664,0.03,
45,15.0,16,0.9569328906720129,0.03,
46,32.0,33,0.9559759577813409,0.03,
47,13.0,14,0.9550199818235596,0.03,
48,21.0,22,0.9540649618417361,0.03,
49,12.0,13,0.9531108968798944,0.03,
50,35.0,36,0.9521577859830145,0.03,
51,12.0,13,0.9512056281970315,0.03,
52,33.0,34,0.9502544225688344,0.03,
53,21.0,22,0.9493041681462656,0.03,
54,12.0,13,0.9483548639781193,0.03,
55,18.0,19,0.9474065091141411,0.03,
56,17.0,18,0.946459102605027,0.03,
57,13.0,14,0.9455126435024219,0.03,
58,21.0,22,0.9445671308589195,0.03,
59,16.0,17,0.9436225637280606,0.03,
60,25.0,26,0.9426789411643326,0.03,26.2
61,16.0,17,0.9417362622231683,0.03,
62,18.0,19,0.9407945259609451,0.03,
63,15.0,16,0.9398537314349842,0.03,
64,30.0,31,0.9389138777035492,0.03,
65,8.0,9,0.9379749638258457,0.03,
66,24.0,25,0.9370369888620198,0.03,
67,23.0,24,0.9360999518731578,0.03,
68,17.0,18,0.9351638519212846,0.03,
69,26.0,27,0.9342286880693633,0.03,
70,11.0,12,0.933294459381294,0.03,
71,19.0,20,0.9323611649219127,0.03,
72,32.0,33,0.9314288037569908,0.03,
73,12.0,13,0.9304973749532338,0.03,
74,12.0,13,0.9295668775782806,0.03,
75,16.0,17,0.9286373107007023,0.03,
76,15.0,16,0.9277086733900016,0.03,
77,23.0,24,0.9267809647166116,0.03,
78,14.0,15,0.925854183751895,0.03,
79,12.0,13,0.9249283295681431,0.03,
80,17.0,18,0.9240034012385749,0.03,22.9
81,41.0,42,0.9230793978373364,0.03,
82,22.0,23,0.9221563184394991,0.03,
83,16.0,17,0.9212341621210596,0.03,
84,26.0,27,0.9203129279589385,0.03,
85,18.0,19,0.9193926150309796,0.03,
86,14.0,15,0.9184732224159486,0.03,
87,18.0,19,0.9175547491935327,0.03,
88,11.0,12,0.9166371944443392,0.03,
89,14.0,15,0.9157205572498949,0.03,
90,37.0,38,0.914804836692645,0.03,
91,23.0,24,0.9138900318559524,0.03,
92,20.0,21,0.9129761418240965,0.03,
93,29.0,30,0.9120631656822724,0.03,
94,40.0,41,0.9111511025165902,0.03,
95,19.0,20,0.9102399514140735,0.03,
96,12.0,13,0.9093297114626595,0.03,
97,13.0,14,0.9084203817511969,0.03,
98,51.0,52,0.9075119613694457,0.03,
99,9.0,10,0.9066044494080763,0.03,
100,7.0,8,0.9056978449586682,0.03,18.7
101,16.0,17,0.9047921471137096,0.03,
102,16.0,17,0.9038873549665959,0.03,
103,22.0,23,0.9029834676116293,0.03,
104,20.0,21,0.9020804841440176,0.03,
105,20.0,21,0.9011784036598737,0.03,
106,11.0,12,0.9002772252562138,0.03,
107,31.0,32,0.8993769480309576,0.03,
108,34.0,35,0.8984775710829266,0.03,
109,38.0,39,0.8975790935118436,0.03,
110,9.0,10,0.8966815144183318,0.03,
111,27.0,28,0.8957848329039134,0.03,
112,37.0,38,0.8948890480710096,0.03,
113,22.0,23,0.8939941590229386,0.03,
114,27.0,28,0.8931001648639156,0.03,
115,20.0,21,0.8922070646990518,0.03,
116,33.0,34,0.8913148576343527,0.03,
117,9.0,10,0.8904235427767183,0.03,
118,31.0,32,0.8895331192339416,0.03,
119,14.0,15,0.8886435861147077,0.03,
120,15.0,16,0.887754942528593,0.03,32.0
121,20.0,21,0.8868671875860644,0.03,
122,13.0,14,0.8859803203984784,0.03,
123,21.0,22,0.88509434007808,0.03,
124,11.0,12,0.8842092457380019,0.03,
125,17.0,18,0.8833250364922639,0.03,
126,12.0,13,0.8824417114557717,0.03,
127,10.0,11,0.8815592697443159,0.03,
128,14.0,15,0.8806777104745716,0.03,
129,14.0,15,0.8797970327640969,0.03,
130,11.0,12,0.8789172357313328,0.03,
131,21.0,22,0.8780383184956015,0.03,
132,18.0,19,0.8771602801771059,0.03,
133,28.0,29,0.8762831198969288,0.03,
134,14.0,15,0.8754068367770318,0.03,
135,20.0,21,0.8745314299402548,0.03,
136,14.0,15,0.8736568985103146,0.03,
137,23.0,24,0.8727832416118043,0.03,
138,17.0,18,0.8719104583701925,0.03,
139,17.0,18,0.8710385479118223,0.03,
140,13.0,14,0.8701675093639105,0.03,27.6
141,37.0,38,0.8692973418545467,0.03,
142,15.0,16,0.8684280445126921,0.03,
143,28.0,29,0.8675596164681794,0.03,
144,14.0,15,0.8666920568517111,0.03,
145,55.0,56,0.8658253647948594,0.03,
146,25.0,26,0.8649595394300645,0.03,
147,17.0,18,0.8640945798906344,0.03,
148,21.0,22,0.8632304853107438,0.03,
149,17.0,18,0.862367254825433,0.03,
150,25.0,26,0.8615048875706075,0.03,
151,13.0,14,0.8606433826830369,0.03,
152,17.0,18,0.8597827393003539,0.03,
153,37.0,38,0.8589229565610536,0.03,
154,38.0,39,0.8580640336044925,0.03,
155,12.0,13,0.857205969570888,0.03,
156,13.0,14,0.8563487636013172,0.03,
157,10.0,11,0.8554924148377159,0.03,
158,16.0,17,0.8546369224228781,0.03,
159,10.0,11,0.8537822855004553,0.03,
160,26.0,27,0.8529285032149548,0.03,17.6
161,24.0,25,0.8520755747117399,0.03,
162,9.0,10,0.8512234991370281,0.03,
163,24.0,25,0.8503722756378911,0.03,
164,11.0,12,0.8495219033622532,0.03,
165,30.0,31,0.8486723814588909,0.03,
166,25.0,26,0.847823709077432,0.03,
167,17.0,18,0.8469758853683546,0.03,
168,21.0,22,0.8461289094829862,0.03,
169,22.0,23,0.8452827805735033,0.03,
170,17.0,18,0.8444374977929298,0.03,
171,18.0,19,0.8435930602951368,0.03,
172,16.0,17,0.8427494672348417,0.03,
173,18.0,19,0.8419067177676068,0.03,
174,13.0,14,0.8410648110498392,0.03,
175,13.0,14,0.8402237462387894,0.03,
176,16.0,17,0.8393835224925505,0.03,
177,17.0,18,0.838544138970058,0.03,
178,34.0,35,0.8377055948310879,0.03,
179,20.0,21,0.8368678892362568,0.03,
180,13.0,14,0.8360310213470206,0.03,22.4
181,12.0,13,0.8351949903256736,0.03,
182,21.0,22,0.8343597953353479,0.03,
183,14.0,15,0.8335254355400126,0.03,
184,46.0,47,0.8326919101044725,0.03,
185,20.0,21,0.831859218194368,0.03,
186,58.0,59,0.8310273589761736,0.03,
187,25.0,26,0.8301963316171974,0.03,
188,36.0,37,0.8293661352855802,0.03,
189,14.0,15,0.8285367691502946,0.03,
190,31.0,32,0.8277082323811443,0.03,
191,12.0,13,0.8268805241487632,0.03,
192,19.0,20,0.8260536436246144,0.03,
193,8.0,9,0.8252275899809898,0.03,
194,27.0,28,0.8244023623910088,0.03,
195,22.0,23,0.8235779600286178,0.03,
196,20.0,21,0.8227543820685892,0.03,
197,13.0,14,0.8219316276865206,0.03,
198,14.0,15,0.8211096960588341,0.03,
199,41.0,42,0.8202885863627752,0.03,
200,18.0,19,0.8194682977764125,0.03,21.0
201,23.0,24,0.818648829478636,0.03,
202,26.0,27,0.8178301806491574,0.03,
203,20.0,21,0.8170123504685082,0.03,
204,28.0,29,0.8161953381180397,0.03,
205,29.0,30,0.8153791427799216,0.03,
206,16.0,17,0.8145637636371417,0.03,
207,30.0,31,0.8137491998735046,0.03,
208,27.0,28,0.812935450673631,0.03,
209,9.0,10,0.8121225152229574,0.03,
210,14.0,15,0.8113103927077344,0.03,
211,12.0,13,0.8104990823150267,0.03,
212,20.0,21,0.8096885832327116,0.03,
213,23.0,24,0.8088788946494789,0.03,
214,12.0,13,0.8080700157548294,0.03,
215,30.0,31,0.8072619457390746,0.03,
216,31.0,32,0.8064546837933355,0.03,
217,13.0,14,0.8056482291095421,0.03,
218,16.0,17,0.8048425808804326,0.03,
219,17.0,18,0.8040377382995522,0.03,
220,42.0,43,0.8032337005612527,0.03,32.2
221,22.0,23,0.8024304668606914,0.03,
222,22.0,23,0.8016280363938307,0.03,
223,15.0,16,0.8008264083574369,0.03,
224,8.0,9,0.8000255819490795,0.03,
225,22.0,23,0.7992255563671304,0.03,
226,9.0,10,0.7984263308107633,0.03,
227,39.0,40,0.7976279044799526,0.03,
228,11.0,12,0.7968302765754727,0.03,
229,15.0,16,0.7960334462988972,0.03,
230,52.0,53,0.7952374128525983,0.03,
231,18.0,19,0.7944421754397457,0.03,
232,17.0,18,0.7936477332643059,0.03,
233,48.0,49,0.7928540855310416,0.03,
234,17.0,18,0.7920612314455105,0.03,
235,19.0,20,0.7912691702140651,0.03,
236,13.0,14,0.790477901043851,0.03,
237,12.0,13,0.7896874231428072,0.03,
238,18.0,19,0.7888977357196644,0.03,
239,34.0,35,0.7881088379839447,0.03,
240,21.0,22,0.7873207291459607,0.03,19.2
241,45.0,46,0.7865334084168147,0.03,
242,31.0,32,0.7857468750083979,0.03,
243,41.0,42,0.7849611281333895,0.03,
244,37.0,38,0.784176167005256,0.03,
245,16.0,17,0.7833919908382508,0.03,
246,36.0,37,0.7826085988474126,0.03,
247,40.0,41,0.7818259902485653,0.03,
248,37.0,38,0.7810441642583167,0.03,
249,22.0,23,0.7802631200940584,0.03,
250,23.0,24,0.7794828569739644,0.03,
251,10.0,11,0.7787033741169904,0.03,
252,19.0,20,0.7779246707428734,0.03,
253,26.0,27,0.7771467460721305,0.03,
254,17.0,18,0.7763695993260584,0.03,
255,12.0,13,0.7755932297267324,0.03,
256,14.0,15,0.7748176364970056,0.03,
257,20.0,21,0.7740428188605086,0.03,
258,19.0,20,0.7732687760416481,0.03,
259,14.0,15,0.7724955072656065,0.03,
260,31.0,32,0.7717230117583408,0.03,26.2
261,18.0,19,0.7709512887465825,0.03,
262,14.0,15,0.7701803374578359,0.03,
263,51.0,52,0.7694101571203781,0.03,
264,11.0,12,0.7686407469632577,0.03,
265,36.0,37,0.7678721062162944,0.03,
266,38.0,39,0.7671042341100781,0.03,
267,14.0,15,0.766337129875968,0.03,
268,12.0,13,0.7655707927460921,0.03,
269,22.0,23,0.764805221953346,0.03,
270,56.0,57,0.7640404167313927,0.03,
271,24.0,25,0.7632763763146613,0.03,
272,74.0,75,0.7625130999383466,0.03,
273,39.0,40,0.7617505868384082,0.03,
274,34.0,35,0.7609888362515699,0.03,
275,20.0,21,0.7602278474153183,0.03,
276,11.0,12,0.759467619567903,0.03,
277,22.0,23,0.7587081519483351,0.03,
278,39.0,40,0.7579494437963867,0.03,
279,16.0,17,0.7571914943525904,0.03,
280,22.0,23,0.7564343028582378,0.03,36.4
281,10.0,11,0.7556778685553796,0.03,
282,25.0,26,0.7549221906868242,0.03,
283,20.0,21,0.7541672684961374,0.03,
284,39.0,40,0.7534131012276413,0.03,
285,17.0,18,0.7526596881264136,0.03,
286,27.0,28,0.7519070284382872,0.03,
287,55.0,56,0.7511551214098489,0.03,
288,17.0,18,0.750403966288439,0.03,
289,19.0,20,0.7496535623221505,0.03,
290,29.0,30,0.7489039087598284,0.03,
291,17.0,18,0.7481550048510686,0.03,
292,22.0,23,0.7474068498462175,0.03,
293,22.0,23,0.7466594429963713,0.03,
294,21.0,22,0.745912783553375,0.03,
295,37.0,38,0.7451668707698216,0.03,
