Episode,Reward,Length
399,210.0,184
400,240.0,300
401,248.0,278
402,289.0,242
403,170.0,191
404,264.0,119
405,304.0,164
406,137.0,133
407,137.0,144
408,205.0,132
409,289.0,136
410,217.0,129
411,170.0,133
412,303.0,130
413,226.0,146
414,232.0,137
415,350.0,139
416,443.0,136
417,468.0,136
418,468.0,131
419,500.0,127
420,93.0,135
421,116.0,134
422,236.0,136
423,67.0,142
424,500.0,134
425,254.0,140
426,500.0,130
427,500.0,122
428,500.0,123
429,500.0,130
430,418.0,117
431,500.0,130
432,500.0,136
433,401.0,116
434,124.0,114
435,171.0,112
436,131.0,120
437,489.0,110
438,182.0,104
439,298.0,104
440,298.0,60
441,276.0,107
442,240.0,20
443,189.0,107
444,117.0,103
445,162.0,121
446,131.0,110
447,142.0,14
448,130.0,20
449,134.0,21
450,127.0,109
451,127.0,117
452,131.0,110
453,128.0,124
454,144.0,125
455,135.0,118
456,137.0,104
457,134.0,113
458,134.0,118
459,129.0,114
460,125.0,110
461,133.0,14
462,133.0,14
463,132.0,92
464,134.0,116
465,140.0,18
466,132.0,106
467,138.0,100
468,128.0,106
469,120.0,12
470,121.0,104
471,128.0,111
472,115.0,126
473,115.0,112
474,128.0,110
475,134.0,109
476,114.0,119
477,112.0,98
478,110.0,112
479,118.0,111
480,108.0,108
481,102.0,86
482,102.0,107
483,58.0,110
484,58.0,106
485,105.0,108
486,18.0,111
487,105.0,111
488,101.0,12
489,119.0,106
490,108.0,104
491,12.0,119
492,18.0,109
493,19.0,117
494,107.0,14
495,107.0,107
496,115.0,129
497,108.0,132
498,122.0,130
499,123.0,151
500,116.0,206
501,102.0,174
502,111.0,123
503,116.0,131
504,112.0,183
505,108.0,163
506,108.0,180
507,12.0,186
508,12.0,201
509,90.0,133
510,114.0,14
511,16.0,172
512,104.0,178
513,98.0,189
514,104.0,196
515,10.0,201
516,102.0,203
517,102.0,191
518,109.0,192
519,124.0,196
520,110.0,237
521,108.0,282
522,107.0,236
523,117.0,32
524,96.0,85
525,110.0,96
526,109.0,207
527,106.0,161
528,106.0,215
529,84.0,246
530,105.0,193
531,108.0,142
532,104.0,162
533,106.0,287
534,109.0,152
535,109.0,138
536,10.0,114
537,104.0,133
538,102.0,267
539,102.0,234
540,117.0,238
541,107.0,168
542,115.0,271
543,12.0,501
544,105.0,416
545,127.0,167
546,130.0,164
547,128.0,146
548,149.0,163
549,204.0,151
550,204.0,286
551,172.0,141
552,121.0,501
553,129.0,38
554,181.0,138
555,161.0,161
556,178.0,144
557,184.0,147
558,199.0,138
559,131.0,140
560,12.0,136
561,12.0,156
562,170.0,225
563,176.0,142
564,187.0,144
565,194.0,153
566,199.0,140
567,201.0,158
568,189.0,137
569,190.0,138
570,194.0,142
571,235.0,135
572,235.0,149
573,280.0,144
574,234.0,161
575,30.0,151
576,83.0,158
577,94.0,157
578,205.0,137
579,159.0,187
580,213.0,472
581,244.0,351
582,191.0,454
583,191.0,501
584,140.0,501
585,160.0,171
586,285.0,217
587,150.0,221
588,136.0,231
589,112.0,209
590,131.0,245
591,265.0,243
592,232.0,241
593,236.0,232
594,236.0,262
595,166.0,330
596,269.0,309
597,500.0,300
598,414.0,276
599,165.0,501
600,162.0,501
601,144.0,325
602,161.0,303
603,149.0,338
604,284.0,233
605,284.0,238
606,139.0,240
607,500.0,225
608,36.0,311
609,136.0,307
610,159.0,210
611,142.0,187
612,145.0,249
613,136.0,451
614,138.0,501
615,134.0,214
616,134.0,342
617,154.0,214
618,223.0,132
619,140.0,162
620,142.0,141
621,151.0,143
622,138.0,30
623,156.0,29
624,135.0,22
625,136.0,16
626,140.0,27
627,140.0,41
628,133.0,21
629,147.0,26
630,142.0,29
631,159.0,28
632,149.0,97
633,156.0,23
634,155.0,130
635,135.0,42
636,185.0,31
637,470.0,47
638,470.0,75
639,349.0,32
640,452.0,28
641,500.0,55
642,500.0,52
643,169.0,45
644,215.0,51
645,219.0,33
646,229.0,236
647,207.0,501
648,243.0,253
649,243.0,501
650,241.0,501
651,239.0,319
652,230.0,428
653,260.0,130
654,328.0,129
655,307.0,137
656,298.0,137
657,274.0,129
658,500.0,130
659,500.0,127
660,500.0,126
661,323.0,122
662,301.0,113
663,336.0,127
664,231.0,146
665,236.0,230
666,238.0,157
667,223.0,174
668,309.0,192
669,305.0,166
670,208.0,192
671,208.0,163
672,185.0,148
673,247.0,152
674,449.0,138
675,500.0,202
676,212.0,227
677,340.0,232
678,212.0,165
679,130.0,273
680,160.0,235
681,139.0,239
682,139.0,226
683,141.0,241
684,28.0,204
685,27.0,238
686,20.0,217
687,14.0,214
688,25.0,205
689,39.0,339
690,19.0,210
691,24.0,181
692,27.0,336
693,27.0,192
694,26.0,323
695,95.0,178
696,21.0,109
697,128.0,231
698,40.0,250
699,29.0,262
700,45.0,290
701,73.0,74
702,30.0,44
703,26.0,266
704,26.0,30
705,53.0,21
706,50.0,32
707,43.0,28
708,49.0,211
709,31.0,28
710,234.0,269
711,500.0,25
712,251.0,382
713,500.0,75
714,500.0,51
715,500.0,60
716,317.0,53
717,426.0,89
718,128.0,59
719,127.0,88
720,135.0,61
721,135.0,64
722,127.0,132
723,128.0,365
724,125.0,441
725,124.0,281
726,124.0,327
727,120.0,267
728,111.0,284
729,125.0,501
730,144.0,501
731,228.0,501
732,155.0,501
733,172.0,501
734,190.0,497
735,164.0,239
736,190.0,11
737,190.0,377
738,161.0,501
739,146.0,222
740,150.0,23
741,136.0,270
742,200.0,222
743,225.0,501
744,230.0,162
745,163.0,421
746,271.0,501
747,233.0,501
748,233.0,501
749,237.0,501
750,224.0,501
751,239.0,343
752,202.0,377
753,236.0,198
754,215.0,186
755,212.0,178
756,203.0,300
757,337.0,230
758,208.0,268
759,208.0,357
760,179.0,501
761,334.0,501
762,190.0,501
763,321.0,501
764,176.0,501
765,107.0,501
766,229.0,501
767,248.0,501
768,260.0,501
769,288.0,501
770,288.0,501
771,72.0,474
772,42.0,501
773,264.0,19
774,28.0,501
775,19.0,501
776,30.0,501
777,26.0,127
778,209.0,71
779,26.0,409
780,267.0,89
781,267.0,450
782,23.0,107
783,380.0,123
784,73.0,130
785,49.0,129
786,58.0,138
787,51.0,151
788,87.0,183
789,57.0,171
790,86.0,127
791,59.0,285
792,59.0,126
793,62.0,501
794,130.0,319
795,363.0,501
796,439.0,200
797,279.0,179
798,325.0,197
799,265.0,290
800,282.0,225
801,500.0,276
802,500.0,379
803,500.0,397
804,500.0,501
805,500.0,396
806,500.0,327
807,495.0,78
808,237.0,263
809,9.0,255
810,375.0,260
811,500.0,226
812,220.0,202
813,21.0,193
814,21.0,207
815,268.0,178
816,220.0,212
817,500.0,188
818,160.0,208
819,419.0,212
820,500.0,233
821,500.0,233
822,500.0,201
823,500.0,189
824,500.0,210
825,500.0,187
826,341.0,184
827,375.0,202
828,196.0,204
829,184.0,208
830,176.0,203
831,298.0,235
832,228.0,212
833,266.0,223
834,355.0,192
835,500.0,189
836,500.0,209
837,500.0,190
838,500.0,199
839,500.0,201
840,500.0,205
841,500.0,195
842,500.0,206
843,500.0,204
844,500.0,211
845,500.0,196
846,500.0,220
847,500.0,204
848,472.0,205
849,500.0,204
850,17.0,231
851,500.0,241
852,500.0,255
853,500.0,236
854,125.0,231
855,69.0,220
856,407.0,241
857,87.0,224
858,87.0,225
859,448.0,223
860,105.0,223
861,121.0,225
862,128.0,222
863,127.0,209
864,136.0,205
865,149.0,201
866,181.0,236
867,169.0,222
868,125.0,207
869,125.0,210
870,283.0,207
871,124.0,218
872,500.0,217
873,317.0,206
874,500.0,215
875,198.0,216
876,177.0,228
877,195.0,225
878,288.0,230
879,223.0,237
880,223.0,231
881,274.0,245
882,377.0,281
883,395.0,258
884,500.0,245
885,394.0,264
886,325.0,255
887,76.0,248
888,261.0,247
889,253.0,234
890,258.0,231
891,258.0,248
892,224.0,241
893,200.0,244
894,191.0,251
895,205.0,243
896,176.0,240
897,210.0,289
898,186.0,266
899,206.0,270
900,210.0,286
901,231.0,265
902,231.0,262
903,231.0,267
904,199.0,278
905,187.0,279
906,208.0,296
907,185.0,321
908,182.0,501
909,200.0,501
910,202.0,283
911,206.0,501
912,201.0,284
913,201.0,501
914,233.0,501
915,210.0,501
916,221.0,501
917,190.0,250
918,187.0,501
919,207.0,229
920,188.0,295
921,197.0,501
922,199.0,501
923,203.0,501
924,203.0,501
925,193.0,501
926,204.0,428
927,202.0,274
928,209.0,296
929,194.0,315
930,218.0,289
931,202.0,313
932,203.0,312
933,202.0,303
934,229.0,278
935,229.0,276
936,239.0,308
937,253.0,315
938,234.0,310
939,229.0,342
940,218.0,335
941,239.0,337
942,222.0,355
943,223.0,411
944,221.0,501
945,221.0,291
946,221.0,334
947,223.0,445
948,220.0,501
949,207.0,471
950,203.0,292
951,199.0,484
952,234.0,501
953,220.0,501
954,205.0,501
955,208.0,343
956,205.0,495
957,205.0,378
958,216.0,467
959,215.0,359
960,204.0,329
961,213.0,138
962,214.0,381
963,226.0,336
964,223.0,139
965,228.0,176
966,235.0,136
967,229.0,357
968,229.0,501
969,243.0,190
970,279.0,11
971,256.0,16
972,243.0,102
973,262.0,75
974,253.0,43
975,246.0,107
976,245.0,122
977,232.0,48
978,229.0,124
979,229.0,253
980,246.0,178
981,239.0,251
982,242.0,234
983,249.0,203
984,241.0,266
985,238.0,501
986,287.0,259
987,264.0,282
988,268.0,290
989,284.0,333
990,284.0,300
991,263.0,501
992,260.0,147
993,265.0,157
994,276.0,501
995,277.0,501
996,294.0,501
997,319.0,501
998,500.0,501
999,500.0,501
1000,281.0,501
1001,281.0,501
1002,500.0,501
1003,282.0,501
1004,500.0,501
1005,500.0,501
1006,500.0,501
1007,500.0,309
1008,248.0,138
1009,500.0,108
1010,227.0,154
1011,293.0,339
1012,293.0,137
1013,500.0,428
1014,500.0,100
1015,500.0,110
1016,500.0,124
1017,500.0,123
1018,426.0,128
1019,272.0,125
1020,294.0,123
1021,313.0,127
1022,287.0,122
1023,287.0,121
1024,311.0,131
1025,310.0,122
1026,301.0,123
1027,276.0,123
1028,274.0,120
1029,306.0,121
1030,313.0,120
1031,308.0,119
1032,340.0,118
1033,333.0,119
1034,333.0,120
1035,335.0,119
1036,353.0,117
1037,409.0,120
1038,500.0,114
1039,289.0,121
1040,332.0,120
1041,443.0,119
1042,500.0,120
1043,469.0,117
1044,290.0,118
1045,290.0,116
1046,482.0,116
1047,500.0,111
1048,500.0,119
1049,500.0,123
1050,341.0,116
1051,493.0,121
1052,376.0,118
1053,465.0,124
1054,357.0,119
1055,327.0,125
1056,327.0,121
1057,136.0,126
1058,379.0,123
1059,334.0,121
1060,137.0,122
1061,174.0,127
1062,134.0,121
1063,355.0,123
1064,500.0,119
1065,188.0,125
1066,9.0,124
1067,9.0,128
1068,14.0,131
1069,100.0,127
1070,73.0,133
1071,41.0,130
1072,105.0,135
1073,120.0,137
1074,46.0,139
1075,122.0,152
1076,251.0,142
1077,176.0,150
1078,176.0,94
1079,249.0,141
1080,232.0,184
1081,201.0,325
1082,264.0,133
1083,500.0,127
1084,257.0,131
1085,280.0,274
1086,288.0,501
1087,331.0,501
1088,298.0,501
1089,298.0,501
1090,500.0,149
1091,145.0,50
1092,155.0,113
1093,500.0,175
1094,500.0,501
1095,500.0,501
1096,500.0,501
1097,500.0,272
1098,500.0,29
1099,500.0,261
1100,500.0,332
1101,500.0,301
1102,500.0,501
1103,500.0,501
1104,500.0,501
1105,500.0,501
