episode,reward,length,epsilon,lr,eval_reward
1,8.0,9,1.0,0.03,
2,15.0,16,0.995,0.03,
3,14.0,15,0.990025,0.03,
4,26.0,27,0.985074875,0.03,
5,18.0,19,0.9801495006250001,0.03,
6,14.0,15,0.9752487531218751,0.03,
7,16.0,17,0.9703725093562657,0.03,
8,19.0,20,0.9655206468094844,0.03,
9,27.0,28,0.960693043575437,0.03,
10,20.0,21,0.9558895783575597,0.03,
11,18.0,19,0.9511101304657719,0.03,
12,19.0,20,0.946354579813443,0.03,
13,16.0,17,0.9416228069143757,0.03,
14,27.0,28,0.9369146928798039,0.03,
15,70.0,71,0.9322301194154049,0.03,
16,12.0,13,0.9275689688183278,0.03,
17,13.0,14,0.9229311239742362,0.03,
18,14.0,15,0.918316468354365,0.03,
19,22.0,23,0.9137248860125932,0.03,
20,23.0,24,0.9091562615825302,0.03,19.9
21,12.0,13,0.9046104802746175,0.03,
22,22.0,23,0.9000874278732445,0.03,
23,10.0,11,0.8955869907338783,0.03,
24,20.0,21,0.8911090557802088,0.03,
25,16.0,17,0.8866535105013078,0.03,
26,18.0,19,0.8822202429488013,0.03,
27,10.0,11,0.8778091417340573,0.03,
28,16.0,17,0.8734200960253871,0.03,
29,31.0,32,0.8690529955452602,0.03,
30,12.0,13,0.8647077305675338,0.03,
31,12.0,13,0.8603841919146962,0.03,
32,9.0,10,0.8560822709551227,0.03,
33,20.0,21,0.851801859600347,0.03,
34,13.0,14,0.8475428503023453,0.03,
35,15.0,16,0.8433051360508336,0.03,
36,16.0,17,0.8390886103705794,0.03,
37,26.0,27,0.8348931673187264,0.03,
38,16.0,17,0.8307187014821328,0.03,
39,77.0,78,0.8265651079747222,0.03,
40,65.0,66,0.8224322824348486,0.03,27.9
41,18.0,19,0.8183201210226743,0.03,
42,21.0,22,0.8142285204175609,0.03,
43,11.0,12,0.810157377815473,0.03,
44,18.0,19,0.8061065909263957,0.03,
45,28.0,29,0.8020760579717637,0.03,
46,39.0,40,0.798065677681905,0.03,
47,20.0,21,0.7940753492934954,0.03,
48,12.0,13,0.7901049725470279,0.03,
49,9.0,10,0.7861544476842928,0.03,
50,28.0,29,0.7822236754458713,0.03,
51,15.0,16,0.778312557068642,0.03,
52,12.0,13,0.7744209942832988,0.03,
53,14.0,15,0.7705488893118823,0.03,
54,53.0,54,0.7666961448653229,0.03,
55,20.0,21,0.7628626641409962,0.03,
56,62.0,63,0.7590483508202912,0.03,
57,39.0,40,0.7552531090661897,0.03,
58,14.0,15,0.7514768435208588,0.03,
59,46.0,47,0.7477194593032545,0.03,
60,10.0,11,0.7439808620067382,0.03,28.0
61,42.0,43,0.7402609576967045,0.03,
62,10.0,11,0.736559652908221,0.03,
63,14.0,15,0.7328768546436799,0.03,
64,13.0,14,0.7292124703704616,0.03,
65,14.0,15,0.7255664080186093,0.03,
66,24.0,25,0.7219385759785162,0.03,
67,14.0,15,0.7183288830986236,0.03,
68,19.0,20,0.7147372386831305,0.03,
69,57.0,58,0.7111635524897149,0.03,
70,17.0,18,0.7076077347272662,0.03,
71,44.0,45,0.7040696960536299,0.03,
72,10.0,11,0.7005493475733617,0.03,
73,45.0,46,0.697046600835495,0.03,
74,25.0,26,0.6935613678313175,0.03,
75,32.0,33,0.6900935609921609,0.03,
76,13.0,14,0.6866430931872001,0.03,
77,33.0,34,0.6832098777212641,0.03,
78,42.0,43,0.6797938283326578,0.03,
79,22.0,23,0.6763948591909945,0.03,
80,37.0,38,0.6730128848950395,0.03,32.2
81,15.0,16,0.6696478204705644,0.03,
82,20.0,21,0.6662995813682115,0.03,
83,28.0,29,0.6629680834613705,0.03,
84,10.0,11,0.6596532430440636,0.03,
85,16.0,17,0.6563549768288433,0.03,
86,85.0,86,0.653073201944699,0.03,
87,33.0,34,0.6498078359349755,0.03,
88,33.0,34,0.6465587967553006,0.03,
89,10.0,11,0.6433260027715241,0.03,
90,11.0,12,0.6401093727576664,0.03,
91,17.0,18,0.6369088258938781,0.03,
92,24.0,25,0.6337242817644086,0.03,
93,28.0,29,0.6305556603555866,0.03,
94,52.0,53,0.6274028820538087,0.03,
95,12.0,13,0.6242658676435396,0.03,
96,25.0,26,0.6211445383053219,0.03,
97,8.0,9,0.6180388156137953,0.03,
98,12.0,13,0.6149486215357263,0.03,
99,17.0,18,0.6118738784280476,0.03,
100,53.0,54,0.6088145090359074,0.03,27.3
101,30.0,31,0.6057704364907278,0.03,
102,21.0,22,0.6027415843082742,0.03,
103,12.0,13,0.5997278763867329,0.03,
104,14.0,15,0.5967292370047992,0.03,
105,13.0,14,0.5937455908197752,0.03,
106,59.0,60,0.5907768628656763,0.03,
107,17.0,18,0.5878229785513479,0.03,
108,31.0,32,0.5848838636585911,0.03,
109,32.0,33,0.5819594443402982,0.03,
110,30.0,31,0.5790496471185967,0.03,
111,15.0,16,0.5761543988830038,0.03,
112,14.0,15,0.5732736268885887,0.03,
113,22.0,23,0.5704072587541458,0.03,
114,12.0,13,0.567555222460375,0.03,
115,38.0,39,0.5647174463480732,0.03,
116,46.0,47,0.5618938591163328,0.03,
117,15.0,16,0.5590843898207511,0.03,
118,14.0,15,0.5562889678716474,0.03,
119,18.0,19,0.5535075230322891,0.03,
120,13.0,14,0.5507399854171277,0.03,31.8
121,18.0,19,0.547986285490042,0.03,
122,81.0,82,0.5452463540625918,0.03,
123,28.0,29,0.5425201222922789,0.03,
124,26.0,27,0.5398075216808175,0.03,
125,16.0,17,0.5371084840724134,0.03,
126,22.0,23,0.5344229416520513,0.03,
127,19.0,20,0.531750826943791,0.03,
128,22.0,23,0.5290920728090721,0.03,
129,42.0,43,0.5264466124450268,0.03,
130,11.0,12,0.5238143793828016,0.03,
131,21.0,22,0.5211953074858876,0.03,
132,34.0,35,0.5185893309484582,0.03,
133,22.0,23,0.5159963842937159,0.03,
134,20.0,21,0.5134164023722473,0.03,
135,99.0,100,0.510849320360386,0.03,
136,19.0,20,0.5082950737585841,0.03,
137,91.0,92,0.5057535983897912,0.03,
138,41.0,42,0.5032248303978422,0.03,
139,23.0,24,0.500708706245853,0.03,
140,19.0,20,0.4982051627146237,0.03,29.8
141,36.0,37,0.49571413690105054,0.03,
142,12.0,13,0.4932355662165453,0.03,
143,22.0,23,0.4907693883854626,0.03,
144,11.0,12,0.4883155414435353,0.03,
145,18.0,19,0.4858739637363176,0.03,
146,50.0,51,0.483444593917636,0.03,
147,30.0,31,0.4810273709480478,0.03,
148,25.0,26,0.47862223409330756,0.03,
149,34.0,35,0.47622912292284103,0.03,
150,24.0,25,0.4738479773082268,0.03,
151,28.0,29,0.47147873742168567,0.03,
152,21.0,22,0.46912134373457726,0.03,
153,10.0,11,0.46677573701590436,0.03,
154,27.0,28,0.46444185833082485,0.03,
155,27.0,28,0.46211964903917074,0.03,
156,12.0,13,0.4598090507939749,0.03,
157,10.0,11,0.457510005540005,0.03,
158,66.0,67,0.45522245551230495,0.03,
159,98.0,99,0.4529463432347434,0.03,
160,61.0,62,0.4506816115185697,0.03,32.0
161,8.0,9,0.4484282034609769,0.03,
162,12.0,13,0.446186062443672,0.03,
163,18.0,19,0.4439551321314536,0.03,
164,13.0,14,0.4417353564707963,0.03,
165,121.0,122,0.43952667968844233,0.03,
166,79.0,80,0.43732904629000013,0.03,
167,24.0,25,0.4351424010585501,0.03,
168,64.0,65,0.43296668905325736,0.03,
169,19.0,20,0.43080185560799106,0.03,
170,34.0,35,0.4286478463299511,0.03,
171,12.0,13,0.42650460709830135,0.03,
172,135.0,136,0.42437208406280985,0.03,
173,63.0,64,0.4222502236424958,0.03,
174,13.0,14,0.42013897252428334,0.03,
175,62.0,63,0.4180382776616619,0.03,
176,28.0,29,0.4159480862733536,0.03,
177,38.0,39,0.41386834584198684,0.03,
178,30.0,31,0.4117990041127769,0.03,
179,43.0,44,0.40974000909221303,0.03,
180,13.0,14,0.40769130904675194,0.03,47.7
181,17.0,18,0.40565285250151817,0.03,
182,14.0,15,0.4036245882390106,0.03,
183,36.0,37,0.4016064652978155,0.03,
184,67.0,68,0.3995984329713264,0.03,
185,48.0,49,0.3976004408064698,0.03,
186,97.0,98,0.39561243860243744,0.03,
187,53.0,54,0.3936343764094253,0.03,
188,26.0,27,0.39166620452737816,0.03,
189,25.0,26,0.3897078735047413,0.03,
190,18.0,19,0.3877593341372176,0.03,
191,22.0,23,0.3858205374665315,0.03,
192,28.0,29,0.38389143477919885,0.03,
193,28.0,29,0.3819719776053028,0.03,
194,34.0,35,0.3800621177172763,0.03,
195,10.0,11,0.37816180712868996,0.03,
196,43.0,44,0.37627099809304654,0.03,
197,74.0,75,0.3743896431025813,0.03,
198,67.0,68,0.37251769488706843,0.03,
199,21.0,22,0.3706551064126331,0.03,
200,99.0,100,0.36880183088056995,0.03,45.7
201,38.0,39,0.3669578217261671,0.03,
202,10.0,11,0.36512303261753626,0.03,
203,12.0,13,0.3632974174544486,0.03,
204,19.0,20,0.3614809303671764,0.03,
205,16.0,17,0.3596735257153405,0.03,
206,111.0,112,0.3578751580867638,0.03,
207,23.0,24,0.35608578229633,0.03,
208,20.0,21,0.3543053533848483,0.03,
209,144.0,145,0.35253382661792404,0.03,
210,18.0,19,0.3507711574848344,0.03,
211,11.0,12,0.34901730169741024,0.03,
212,16.0,17,0.3472722151889232,0.03,
