episode,reward,length,epsilon,lr,eval_reward
1,39.0,40,1.0,0.03,
2,11.0,12,0.995,0.03,
3,26.0,27,0.990025,0.03,
4,31.0,32,0.985074875,0.03,
5,46.0,47,0.9801495006250001,0.03,
6,13.0,14,0.9752487531218751,0.03,
7,36.0,37,0.9703725093562657,0.03,
8,14.0,15,0.9655206468094844,0.03,
9,51.0,52,0.960693043575437,0.03,
10,21.0,22,0.9558895783575597,0.03,
11,15.0,16,0.9511101304657719,0.03,
12,20.0,21,0.946354579813443,0.03,
13,11.0,12,0.9416228069143757,0.03,
14,31.0,32,0.9369146928798039,0.03,
15,22.0,23,0.9322301194154049,0.03,
16,10.0,11,0.9275689688183278,0.03,
17,15.0,16,0.9229311239742362,0.03,
18,24.0,25,0.918316468354365,0.03,
19,20.0,21,0.9137248860125932,0.03,
20,20.0,21,0.9091562615825302,0.03,19.5
21,37.0,38,0.9046104802746175,0.03,
22,11.0,12,0.9000874278732445,0.03,
23,26.0,27,0.8955869907338783,0.03,
24,11.0,12,0.8911090557802088,0.03,
25,18.0,19,0.8866535105013078,0.03,
26,26.0,27,0.8822202429488013,0.03,
27,19.0,20,0.8778091417340573,0.03,
28,54.0,55,0.8734200960253871,0.03,
29,27.0,28,0.8690529955452602,0.03,
30,16.0,17,0.8647077305675338,0.03,
31,43.0,44,0.8603841919146962,0.03,
32,13.0,14,0.8560822709551227,0.03,
33,31.0,32,0.851801859600347,0.03,
34,14.0,15,0.8475428503023453,0.03,
35,62.0,63,0.8433051360508336,0.03,
36,10.0,11,0.8390886103705794,0.03,
37,10.0,11,0.8348931673187264,0.03,
38,42.0,43,0.8307187014821328,0.03,
39,35.0,36,0.8265651079747222,0.03,
40,19.0,20,0.8224322824348486,0.03,32.5
41,17.0,18,0.8183201210226743,0.03,
42,12.0,13,0.8142285204175609,0.03,
43,30.0,31,0.810157377815473,0.03,
44,59.0,60,0.8061065909263957,0.03,
45,14.0,15,0.8020760579717637,0.03,
46,22.0,23,0.798065677681905,0.03,
47,14.0,15,0.7940753492934954,0.03,
48,56.0,57,0.7901049725470279,0.03,
49,24.0,25,0.7861544476842928,0.03,
50,11.0,12,0.7822236754458713,0.03,
51,10.0,11,0.778312557068642,0.03,
52,20.0,21,0.7744209942832988,0.03,
53,29.0,30,0.7705488893118823,0.03,
54,10.0,11,0.7666961448653229,0.03,
55,21.0,22,0.7628626641409962,0.03,
56,14.0,15,0.7590483508202912,0.03,
57,56.0,57,0.7552531090661897,0.03,
58,25.0,26,0.7514768435208588,0.03,
59,23.0,24,0.7477194593032545,0.03,
60,9.0,10,0.7439808620067382,0.03,22.4
61,15.0,16,0.7402609576967045,0.03,
62,36.0,37,0.736559652908221,0.03,
63,46.0,47,0.7328768546436799,0.03,
64,23.0,24,0.7292124703704616,0.03,
65,22.0,23,0.7255664080186093,0.03,
66,15.0,16,0.7219385759785162,0.03,
67,35.0,36,0.7183288830986236,0.03,
68,17.0,18,0.7147372386831305,0.03,
69,36.0,37,0.7111635524897149,0.03,
70,39.0,40,0.7076077347272662,0.03,
71,15.0,16,0.7040696960536299,0.03,
72,12.0,13,0.7005493475733617,0.03,
73,56.0,57,0.697046600835495,0.03,
74,10.0,11,0.6935613678313175,0.03,
75,22.0,23,0.6900935609921609,0.03,
76,12.0,13,0.6866430931872001,0.03,
77,29.0,30,0.6832098777212641,0.03,
78,18.0,19,0.6797938283326578,0.03,
79,25.0,26,0.6763948591909945,0.03,
80,11.0,12,0.6730128848950395,0.03,31.9
81,29.0,30,0.6696478204705644,0.03,
82,64.0,65,0.6662995813682115,0.03,
83,36.0,37,0.6629680834613705,0.03,
84,18.0,19,0.6596532430440636,0.03,
85,23.0,24,0.6563549768288433,0.03,
86,12.0,13,0.653073201944699,0.03,
87,45.0,46,0.6498078359349755,0.03,
88,33.0,34,0.6465587967553006,0.03,
89,33.0,34,0.6433260027715241,0.03,
90,19.0,20,0.6401093727576664,0.03,
91,17.0,18,0.6369088258938781,0.03,
92,54.0,55,0.6337242817644086,0.03,
93,71.0,72,0.6305556603555866,0.03,
94,61.0,62,0.6274028820538087,0.03,
95,27.0,28,0.6242658676435396,0.03,
96,26.0,27,0.6211445383053219,0.03,
97,28.0,29,0.6180388156137953,0.03,
98,28.0,29,0.6149486215357263,0.03,
99,31.0,32,0.6118738784280476,0.03,
100,42.0,43,0.6088145090359074,0.03,44.2
101,71.0,72,0.6057704364907278,0.03,
102,10.0,11,0.6027415843082742,0.027,
103,36.0,37,0.5997278763867329,0.027,
104,26.0,27,0.5967292370047992,0.027,
105,28.0,29,0.5937455908197752,0.027,
106,18.0,19,0.5907768628656763,0.0243,
107,28.0,29,0.5878229785513479,0.02187,
108,35.0,36,0.5848838636585911,0.019683000000000003,
109,61.0,62,0.5819594443402982,0.019683000000000003,
110,34.0,35,0.5790496471185967,0.017714700000000003,
111,22.0,23,0.5761543988830038,0.015943230000000003,
112,17.0,18,0.5732736268885887,0.014348907000000003,
113,46.0,47,0.5704072587541458,0.014348907000000003,
114,42.0,43,0.567555222460375,0.014348907000000003,
115,56.0,57,0.5647174463480732,0.014348907000000003,
116,35.0,36,0.5618938591163328,0.014348907000000003,
117,13.0,14,0.5590843898207511,0.014348907000000003,
118,28.0,29,0.5562889678716474,0.014348907000000003,
119,26.0,27,0.5535075230322891,0.014348907000000003,
120,50.0,51,0.5507399854171277,0.014348907000000003,27.5
121,27.0,28,0.547986285490042,0.014348907000000003,
122,36.0,37,0.5452463540625918,0.014348907000000003,
123,40.0,41,0.5425201222922789,0.014348907000000003,
124,53.0,54,0.5398075216808175,0.014348907000000003,
125,41.0,42,0.5371084840724134,0.014348907000000003,
126,11.0,12,0.5344229416520513,0.014348907000000003,
127,40.0,41,0.531750826943791,0.014348907000000003,
128,55.0,56,0.5290920728090721,0.014348907000000003,
129,90.0,91,0.5264466124450268,0.014348907000000003,
130,46.0,47,0.5238143793828016,0.014348907000000003,
131,47.0,48,0.5211953074858876,0.014348907000000003,
132,23.0,24,0.5185893309484582,0.014348907000000003,
133,18.0,19,0.5159963842937159,0.014348907000000003,
134,25.0,26,0.5134164023722473,0.014348907000000003,
135,27.0,28,0.510849320360386,0.014348907000000003,
136,27.0,28,0.5082950737585841,0.014348907000000003,
137,77.0,78,0.5057535983897912,0.014348907000000003,
138,40.0,41,0.5032248303978422,0.014348907000000003,
139,56.0,57,0.500708706245853,0.014348907000000003,
140,59.0,60,0.4982051627146237,0.014348907000000003,30.6
141,37.0,38,0.49571413690105054,0.014348907000000003,
142,58.0,59,0.4932355662165453,0.014348907000000003,
143,34.0,35,0.4907693883854626,0.014348907000000003,
144,20.0,21,0.4883155414435353,0.014348907000000003,
145,39.0,40,0.4858739637363176,0.014348907000000003,
146,114.0,115,0.483444593917636,0.014348907000000003,
147,25.0,26,0.4810273709480478,0.014348907000000003,
148,30.0,31,0.47862223409330756,0.014348907000000003,
149,101.0,102,0.47622912292284103,0.014348907000000003,
150,98.0,99,0.4738479773082268,0.014348907000000003,
151,39.0,40,0.47147873742168567,0.014348907000000003,
152,86.0,87,0.46912134373457726,0.014348907000000003,
153,44.0,45,0.46677573701590436,0.014348907000000003,
154,62.0,63,0.46444185833082485,0.014348907000000003,
155,96.0,97,0.46211964903917074,0.014348907000000003,
156,54.0,55,0.4598090507939749,0.014348907000000003,
157,28.0,29,0.457510005540005,0.014348907000000003,
158,66.0,67,0.45522245551230495,0.014348907000000003,
159,32.0,33,0.4529463432347434,0.014348907000000003,
160,11.0,12,0.4506816115185697,0.014348907000000003,65.9
161,15.0,16,0.4484282034609769,0.014348907000000003,
162,82.0,83,0.446186062443672,0.014348907000000003,
163,24.0,25,0.4439551321314536,0.014348907000000003,
164,34.0,35,0.4417353564707963,0.014348907000000003,
165,28.0,29,0.43952667968844233,0.014348907000000003,
166,73.0,74,0.43732904629000013,0.014348907000000003,
167,33.0,34,0.4351424010585501,0.014348907000000003,
168,63.0,64,0.43296668905325736,0.014348907000000003,
169,75.0,76,0.43080185560799106,0.014348907000000003,
170,54.0,55,0.4286478463299511,0.014348907000000003,
171,29.0,30,0.42650460709830135,0.014348907000000003,
172,17.0,18,0.42437208406280985,0.014348907000000003,
173,69.0,70,0.4222502236424958,0.014348907000000003,
174,104.0,105,0.42013897252428334,0.014348907000000003,
175,46.0,47,0.4180382776616619,0.014348907000000003,
176,20.0,21,0.4159480862733536,0.014348907000000003,
177,69.0,70,0.41386834584198684,0.014348907000000003,
178,19.0,20,0.4117990041127769,0.014348907000000003,
179,36.0,37,0.40974000909221303,0.014348907000000003,
180,47.0,48,0.40769130904675194,0.014348907000000003,65.2
181,22.0,23,0.40565285250151817,0.014348907000000003,
182,99.0,100,0.4036245882390106,0.014348907000000003,
183,20.0,21,0.4016064652978155,0.014348907000000003,
184,68.0,69,0.3995984329713264,0.014348907000000003,
