episode,reward,length,epsilon,lr,eval_reward
1,35.0,36,1.0,0.03,
2,11.0,12,0.9986183664052697,0.03,
3,20.0,21,0.9972386417219294,0.03,
4,35.0,36,0.9958608233125632,0.03,
5,22.0,23,0.9944849085433988,0.03,
6,15.0,16,0.9931108947843029,0.03,
7,17.0,18,0.9917387794087762,0.03,
8,12.0,13,0.9903685597939482,0.03,
9,20.0,21,0.9890002333205722,0.03,
10,11.0,12,0.9876337973730204,0.03,
11,15.0,16,0.9862692493392787,0.03,
12,13.0,14,0.9849065866109421,0.03,
13,17.0,18,0.9835458065832092,0.03,
14,19.0,20,0.9821869066548777,0.03,
15,21.0,22,0.980829884228339,0.03,
16,21.0,22,0.9794747367095737,0.03,
17,11.0,12,0.9781214615081462,0.03,
18,29.0,30,0.9767700560371998,0.03,
19,67.0,68,0.9754205177134522,0.03,
20,13.0,14,0.9740728439571901,0.03,17.9
21,13.0,14,0.9727270321922643,0.03,
22,20.0,21,0.9713830798460852,0.03,
23,24.0,25,0.9700409843496173,0.03,
24,10.0,11,0.9687007431373745,0.03,
25,14.0,15,0.9673623536474157,0.03,
26,14.0,15,0.9660258133213391,0.03,
27,31.0,32,0.9646911196042777,0.03,
28,23.0,24,0.9633582699448944,0.03,
29,11.0,12,0.9620272617953772,0.03,
30,13.0,14,0.9606980926114344,0.03,
31,44.0,45,0.959370759852289,0.03,
32,14.0,15,0.9580452609806752,0.03,
33,22.0,23,0.9567215934628321,0.03,
34,15.0,16,0.9553997547685,0.03,
35,25.0,26,0.9540797423709148,0.03,
36,19.0,20,0.9527615537468035,0.03,
37,33.0,34,0.9514451863763794,0.03,
38,19.0,20,0.9501306377433374,0.03,
39,35.0,36,0.9488179053348487,0.03,
40,9.0,10,0.9475069866415564,0.03,28.2
41,10.0,11,0.9461978791575707,0.03,
42,16.0,17,0.944890580380464,0.03,
43,12.0,13,0.9435850878112662,0.03,
44,16.0,17,0.9422813989544595,0.03,
45,28.0,29,0.9409795113179745,0.03,
46,30.0,31,0.9396794224131847,0.03,
47,22.0,23,0.9383811297549018,0.03,
48,17.0,18,0.9370846308613715,0.03,
49,9.0,10,0.935789923254268,0.03,
50,13.0,14,0.9344970044586898,0.03,
51,17.0,18,0.9332058720031549,0.03,
52,12.0,13,0.9319165234195957,0.03,
53,15.0,16,0.930628956243355,0.03,
54,36.0,37,0.9293431680131803,0.03,
55,12.0,13,0.9280591562712202,0.03,
56,15.0,16,0.9267769185630188,0.03,
57,17.0,18,0.9254964524375114,0.03,
58,19.0,20,0.92421775544702,0.03,
