episode,reward,length,epsilon,eval_reward
1,15.0,16,0.995,
2,27.0,28,0.990025,
3,36.0,37,0.985074875,
4,15.0,16,0.9801495006250001,
5,34.0,35,0.9752487531218751,
6,44.0,45,0.9703725093562657,
7,19.0,20,0.9655206468094844,
8,11.0,12,0.960693043575437,
9,20.0,21,0.9558895783575597,
10,16.0,17,0.9511101304657719,69.0
11,26.0,27,0.946354579813443,
12,14.0,15,0.9416228069143757,
13,72.0,73,0.9369146928798039,
14,28.0,29,0.9322301194154049,
15,20.0,21,0.9275689688183278,
16,27.0,28,0.9229311239742362,
17,10.0,11,0.918316468354365,
18,10.0,11,0.9137248860125932,
19,9.0,10,0.9091562615825302,
20,8.0,9,0.9046104802746175,8.3
21,14.0,15,0.9000874278732445,
22,12.0,13,0.8955869907338783,
23,20.0,21,0.8911090557802088,
24,12.0,13,0.8866535105013078,
25,15.0,16,0.8822202429488013,
26,30.0,31,0.8778091417340573,
27,11.0,12,0.8734200960253871,
28,19.0,20,0.8690529955452602,
29,31.0,32,0.8647077305675338,
30,11.0,12,0.8603841919146962,8.3
31,13.0,14,0.8560822709551227,
32,13.0,14,0.851801859600347,
33,11.0,12,0.8475428503023453,
34,14.0,15,0.8433051360508336,
35,11.0,12,0.8390886103705794,
36,15.0,16,0.8348931673187264,
37,10.0,11,0.8307187014821328,
38,15.0,16,0.8265651079747222,
39,8.0,9,0.8224322824348486,
40,12.0,13,0.8183201210226743,8.7
41,16.0,17,0.8142285204175609,
42,19.0,20,0.810157377815473,
43,28.0,29,0.8061065909263957,
44,17.0,18,0.8020760579717637,
45,28.0,29,0.798065677681905,
46,19.0,20,0.7940753492934954,
47,16.0,17,0.7901049725470279,
48,17.0,18,0.7861544476842928,
49,9.0,10,0.7822236754458713,
50,21.0,22,0.778312557068642,8.2
51,9.0,10,0.7744209942832988,
52,13.0,14,0.7705488893118823,
53,24.0,25,0.7666961448653229,
54,11.0,12,0.7628626641409962,
55,12.0,13,0.7590483508202912,
56,15.0,16,0.7552531090661897,
