episode,reward,length,epsilon,eval_reward
1,24.0,25,0.995,
2,35.0,36,0.990025,
3,15.0,16,0.985074875,
4,24.0,25,0.9801495006250001,
5,34.0,35,0.9752487531218751,
6,13.0,14,0.9703725093562657,
7,11.0,12,0.9655206468094844,
8,50.0,51,0.960693043575437,
9,21.0,22,0.9558895783575597,
10,52.0,53,0.9511101304657719,23.4
11,11.0,12,0.946354579813443,
12,38.0,39,0.9416228069143757,
13,38.0,39,0.9369146928798039,
14,25.0,26,0.9322301194154049,
15,11.0,12,0.9275689688183278,
16,14.0,15,0.9229311239742362,
17,15.0,16,0.918316468354365,
18,44.0,45,0.9137248860125932,
19,10.0,11,0.9091562615825302,
20,11.0,12,0.9046104802746175,8.4
21,15.0,16,0.9000874278732445,
22,11.0,12,0.8955869907338783,
23,12.0,13,0.8911090557802088,
24,12.0,13,0.8866535105013078,
25,8.0,9,0.8822202429488013,
26,23.0,24,0.8778091417340573,
27,21.0,22,0.8734200960253871,
28,15.0,16,0.8690529955452602,
29,14.0,15,0.8647077305675338,
30,28.0,29,0.8603841919146962,8.5
31,14.0,15,0.8560822709551227,
32,13.0,14,0.851801859600347,
33,25.0,26,0.8475428503023453,
34,24.0,25,0.8433051360508336,
35,24.0,25,0.8390886103705794,
36,25.0,26,0.8348931673187264,
37,8.0,9,0.8307187014821328,
38,21.0,22,0.8265651079747222,
39,16.0,17,0.8224322824348486,
40,12.0,13,0.8183201210226743,8.5
41,41.0,42,0.8142285204175609,
42,22.0,23,0.810157377815473,
43,10.0,11,0.8061065909263957,
44,17.0,18,0.8020760579717637,
45,18.0,19,0.798065677681905,
46,13.0,14,0.7940753492934954,
47,16.0,17,0.7901049725470279,
48,11.0,12,0.7861544476842928,
49,12.0,13,0.7822236754458713,
50,16.0,17,0.778312557068642,8.4
51,9.0,10,0.7744209942832988,
52,9.0,10,0.7705488893118823,
53,37.0,38,0.7666961448653229,
54,13.0,14,0.7628626641409962,
55,39.0,40,0.7590483508202912,
56,16.0,17,0.7552531090661897,
57,8.0,9,0.7514768435208588,
58,39.0,40,0.7477194593032545,
59,16.0,17,0.7439808620067382,
60,26.0,27,0.7402609576967045,26.9
61,15.0,16,0.736559652908221,
62,13.0,14,0.7328768546436799,
63,14.0,15,0.7292124703704616,
64,14.0,15,0.7255664080186093,
65,53.0,54,0.7219385759785162,
66,10.0,11,0.7183288830986236,
67,14.0,15,0.7147372386831305,
68,11.0,12,0.7111635524897149,
69,14.0,15,0.7076077347272662,
70,8.0,9,0.7040696960536299,36.2
71,19.0,20,0.7005493475733617,
72,16.0,17,0.697046600835495,
73,16.0,17,0.6935613678313175,
74,35.0,36,0.6900935609921609,
75,33.0,34,0.6866430931872001,
76,11.0,12,0.6832098777212641,
77,45.0,46,0.6797938283326578,
78,11.0,12,0.6763948591909945,
79,14.0,15,0.6730128848950395,
80,20.0,21,0.6696478204705644,50.1
81,13.0,14,0.6662995813682115,
82,13.0,14,0.6629680834613705,
83,14.0,15,0.6596532430440636,
84,12.0,13,0.6563549768288433,
85,65.0,66,0.653073201944699,
86,23.0,24,0.6498078359349755,
87,26.0,27,0.6465587967553006,
88,26.0,27,0.6433260027715241,
89,14.0,15,0.6401093727576664,
90,15.0,16,0.6369088258938781,39.7
91,22.0,23,0.6337242817644086,
92,8.0,9,0.6305556603555866,
93,21.0,22,0.6274028820538087,
94,65.0,66,0.6242658676435396,
95,81.0,82,0.6211445383053219,
96,30.0,31,0.6180388156137953,
97,13.0,14,0.6149486215357263,
98,24.0,25,0.6118738784280476,
99,21.0,22,0.6088145090359074,
100,16.0,17,0.6057704364907278,111.4
101,16.0,17,0.6027415843082742,
102,23.0,24,0.5997278763867329,
103,82.0,83,0.5967292370047992,
104,27.0,28,0.5937455908197752,
105,24.0,25,0.5907768628656763,
106,29.0,30,0.5878229785513479,
107,32.0,33,0.5848838636585911,
108,19.0,20,0.5819594443402982,
109,26.0,27,0.5790496471185967,
110,28.0,29,0.5761543988830038,31.4
111,37.0,38,0.5732736268885887,
112,29.0,30,0.5704072587541458,
113,12.0,13,0.567555222460375,
114,37.0,38,0.5647174463480732,
115,30.0,31,0.5618938591163328,
116,11.0,12,0.5590843898207511,
117,63.0,64,0.5562889678716474,
118,44.0,45,0.5535075230322891,
119,43.0,44,0.5507399854171277,
120,39.0,40,0.547986285490042,149.8
121,13.0,14,0.5452463540625918,
122,10.0,11,0.5425201222922789,
123,35.0,36,0.5398075216808175,
124,8.0,9,0.5371084840724134,
125,52.0,53,0.5344229416520513,
126,29.0,30,0.531750826943791,
127,15.0,16,0.5290920728090721,
128,22.0,23,0.5264466124450268,
129,15.0,16,0.5238143793828016,
130,31.0,32,0.5211953074858876,241.7
131,23.0,24,0.5185893309484582,
132,109.0,110,0.5159963842937159,
133,175.0,176,0.5134164023722473,
134,30.0,31,0.510849320360386,
135,15.0,16,0.5082950737585841,
136,51.0,52,0.5057535983897912,
137,15.0,16,0.5032248303978422,
138,55.0,56,0.500708706245853,
139,60.0,61,0.4982051627146237,
140,59.0,60,0.49571413690105054,183.3
141,21.0,22,0.4932355662165453,
142,40.0,41,0.4907693883854626,
143,42.0,43,0.4883155414435353,
144,33.0,34,0.4858739637363176,
145,31.0,32,0.483444593917636,
146,62.0,63,0.4810273709480478,
147,106.0,107,0.47862223409330756,
148,53.0,54,0.47622912292284103,
149,94.0,95,0.4738479773082268,
150,69.0,70,0.47147873742168567,222.7
151,84.0,85,0.46912134373457726,
152,98.0,99,0.46677573701590436,
153,25.0,26,0.46444185833082485,
154,50.0,51,0.46211964903917074,
155,99.0,100,0.4598090507939749,
156,46.0,47,0.457510005540005,
157,18.0,19,0.45522245551230495,
158,142.0,143,0.4529463432347434,
159,33.0,34,0.4506816115185697,
160,56.0,57,0.4484282034609769,195.1
161,48.0,49,0.446186062443672,
162,57.0,58,0.4439551321314536,
163,20.0,21,0.4417353564707963,
164,112.0,113,0.43952667968844233,
165,259.0,260,0.43732904629000013,
166,51.0,52,0.4351424010585501,
167,53.0,54,0.43296668905325736,
168,50.0,51,0.43080185560799106,
169,68.0,69,0.4286478463299511,
170,134.0,135,0.42650460709830135,163.3
171,41.0,42,0.42437208406280985,
172,48.0,49,0.4222502236424958,
173,206.0,207,0.42013897252428334,
174,142.0,143,0.4180382776616619,
175,40.0,41,0.4159480862733536,
176,92.0,93,0.41386834584198684,
177,200.0,201,0.4117990041127769,
178,109.0,110,0.40974000909221303,
179,160.0,161,0.40769130904675194,
180,44.0,45,0.40565285250151817,354.1
181,160.0,161,0.4036245882390106,
182,120.0,121,0.4016064652978155,
